127.0.0.1 - - [24/Apr/2022:21:14:00 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:14:09 -0300] "GET /meu-projeto/login HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:14:09 -0300] "GET /meu-projeto/CSS/css.login/login2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:14:09 -0300] "GET /meu-projeto/CSS/css.login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:14:09 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:14:13 -0300] "POST /meu-projeto/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:14:13 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:14:13 -0300] "GET /meu-projeto/CSS/css.agenda/agenda.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:19:03 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:19:31 -0300] "GET /meu-projeto/lista HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:19:31 -0300] "GET /meu-projeto/login HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:19:31 -0300] "GET /meu-projeto/CSS/css.login/login2.css HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:19:31 -0300] "GET /meu-projeto/CSS/css.login/login.css HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:19:39 -0300] "POST /meu-projeto/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:19:39 -0300] "GET /meu-projeto/lista HTTP/1.1" 200 3948
